Info 0    [10:53:48.26] Starting TS Server
Info 1    [10:53:48.27] Version: 3.7.5
Info 2    [10:53:48.27] Arguments: /Users/ignacy/.nvm/versions/node/v12.6.0/bin/node /Users/ignacy/.nvm/versions/node/v12.6.0/bin/tsserver --logFile /Users/ignacy/code/nearme/whats-cooking/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/mc/w4mxzlc93_xblv6rlbsk3gjr0000gn/T/c6493307926d0626d79191c7362595c9/tscancellation*
Info 3    [10:53:48.27] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [10:53:48.40] Search path: /Users/ignacy/code/nearme/whats-cooking/app/assets/scripts
Info 5    [10:53:48.41] For info: /Users/ignacy/code/nearme/whats-cooking/app/assets/scripts/code.ts :: No config files found.
Info 6    [10:53:48.48] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [10:53:48.634] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 586ms
Info 8    [10:53:48.634] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [10:53:48.634] 	Files (6)

Info 10   [10:53:48.634] -----------------------------------------------
Info 11   [10:53:55.14] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [10:53:55.40] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 26ms
Info 13   [10:53:55.40] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [10:54:2.600] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [10:54:2.616] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 15ms
Info 16   [10:54:2.616] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 17   [10:54:7.185] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [10:54:7.201] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 16ms
Info 19   [10:54:7.201] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 20   [10:54:14.630] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [10:54:14.640] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 10ms
Info 22   [10:54:14.640] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 23   [10:54:22.673] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [10:54:22.676] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 3ms
Info 25   [10:54:22.676] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 26   [10:54:23.597] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [10:54:23.599] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 2ms
Info 28   [10:54:23.599] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 29   [10:54:25.527] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [10:54:25.529] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 2ms
Info 31   [10:54:25.529] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 32   [10:54:27.257] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [10:54:27.260] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 3ms
Info 34   [10:54:27.260] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 35   [10:54:27.631] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [10:54:27.633] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 2ms
Info 37   [10:54:27.633] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 38   [10:54:28.186] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [10:54:28.188] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 2ms
Info 40   [10:54:28.188] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 41   [10:54:28.680] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [10:54:28.682] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 2ms
Info 43   [10:54:28.682] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 44   [10:54:28.918] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [10:54:28.919] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 1ms
Info 46   [10:54:28.919] Different program with same set of files:: oldProgram.structureIsReused:: 2
